publishedAt,authorDisplayName,textDisplay,likeCount
2023-05-06T08:48:36Z,rudi hartono,"Ganjar gasssssss ,presiden 2024",0
2023-05-06T08:46:30Z,Stay Weird,Pak ganjar,0
2023-05-06T08:28:37Z,Jansrul Djaja,100% Ganjar pasti menang 2024 🎉🎉🎉🇮🇩🇮🇩🇮🇩👍👍👍🙏🏻🙏🏻🙏🏻,0
2023-05-06T08:25:19Z,Omega Dua,Pak ganjar pranowo.,1
2023-05-06T08:12:28Z,MR EDAN,"GANJAR LANJUTKAN ,",1
2023-05-06T08:08:18Z,Angga Setyo,Wkwkw,0
2023-05-06T08:01:52Z,Aji Suci,Sayang Btv..siaranya  ga tertangkap didaerah Banyumas Raya.,0
2023-05-06T07:13:14Z,eko wijay,"Lha wong survei pesanan....propaganda utk mempengaruhi dan menggoda pikiran orang agar milih ganjar....padahal ganjar faktanya mengumbar bahwa dirinya penggemar pornografi nonton film bokep dan merasa tdk bersalah, hal itu dia sampaikan di depan publik...bisajadi ganjar ada gangguan moral",0
2023-05-06T07:02:40Z,Aris Wahyu,Ganjar semakin dihati,2
2023-05-06T06:49:26Z,Joice Lennon,Prabowo is my Voting 2024,0
2023-05-06T06:38:39Z,Masjun Kendal,❤❤❤❤GANJAR.... &amp; PRABOWO.. 👍👍👍👍👍...... BAMBU MESUM 500 juta.... Setahun di BONGKAR.... ohhh tidak..... Cukup JAKARTA Korbannya.. 😮😮😮,0
2023-05-06T06:36:47Z,Besi Tua,Klu Ganjar ingin menang harus ada selisih 10% lebih tinggi dari pada Prabowo.. klu kurang dari 10% kemungkinan Ganjar akan kalah dengan Prabowo d putaran ke 2.<br>Nama y juga prediksi 😅,5
2023-05-08T05:03:23Z,bray,​@bakayaro_16mending pilih puan jadi cawapresnya suara mic aja dimatikan orang lagi demo di aja malah ngrayain party didalam ruangan oia ganjar itu dari partai mana ya,0
2023-05-07T15:34:26Z,bakayaro_16,Si wowo akan kalah di putaran kedua krna kadrun merapat ke wowo<br>Siapapun yg di dukung kadrun akan nyungsep<br>Dan projo akan kembali lagi ke ganjar,1
2023-05-06T10:56:43Z,Gelsy and genia,"Lah iyo klo putaran kedua suara anis gha akan ke ganjar,. 😅",0
2023-05-06T06:28:55Z,Karsiono 005,"Pak Ganjar pas banget ,jadi RI ,1,💟🇮🇩💪🙏🙏🙏",7
